Date,Campaign,Spend,Clicks,Impressions,Conversions
2024-02-03,Prospecting_Lookalike,484.75,597,34234,11
2024-02-03,Retargeting_Catalog,356.84,439,25201,8
2024-02-03,AdvantagePlus_Shopping,649.65,800,45880,15
2024-02-04,Prospecting_Lookalike,414.59,508,31690,12
2024-02-04,Retargeting_Catalog,409.93,502,31334,12
2024-02-04,AdvantagePlus_Shopping,525.86,645,40195,15
2024-02-05,Prospecting_Lookalike,563.91,637,39486,16
2024-02-05,Retargeting_Catalog,595.5,672,41699,17
2024-02-05,AdvantagePlus_Shopping,679.62,767,47589,19
2024-02-06,Prospecting_Lookalike,717.58,794,49797,19
2024-02-06,Retargeting_Catalog,409.98,453,28451,11
2024-02-06,AdvantagePlus_Shopping,707.6,783,49105,19
2024-02-07,Prospecting_Lookalike,526.78,638,34649,14
2024-02-07,Retargeting_Catalog,494.18,599,32504,13
2024-02-07,AdvantagePlus_Shopping,650.07,788,42758,18
2024-02-08,Prospecting_Lookalike,442.31,487,27922,8
2024-02-08,Retargeting_Catalog,320.18,352,20212,6
2024-02-08,AdvantagePlus_Shopping,399.19,440,25200,7
2024-02-09,Prospecting_Lookalike,680.21,808,43349,14
2024-02-09,Retargeting_Catalog,659.49,784,42028,14
2024-02-09,AdvantagePlus_Shopping,715.27,850,45583,15
2024-02-10,Prospecting_Lookalike,591.66,673,43204,13
2024-02-10,Retargeting_Catalog,480.29,546,35072,11
2024-02-10,AdvantagePlus_Shopping,915.63,1041,66863,21
2024-02-11,Prospecting_Lookalike,542.58,605,37164,13
2024-02-11,Retargeting_Catalog,293.38,327,20095,7
2024-02-11,AdvantagePlus_Shopping,523.22,583,35838,12
2024-02-12,Prospecting_Lookalike,487.75,616,37947,13
2024-02-12,Retargeting_Catalog,261.65,330,20356,7
2024-02-12,AdvantagePlus_Shopping,528.29,668,41100,14
2024-02-13,Prospecting_Lookalike,628.13,723,32390,15
2024-02-13,Retargeting_Catalog,424.23,488,21876,10
2024-02-13,AdvantagePlus_Shopping,866.09,997,44661,21
2024-02-14,Prospecting_Lookalike,423.2,466,26395,8
2024-02-14,Retargeting_Catalog,359.87,396,22445,7
2024-02-14,AdvantagePlus_Shopping,506.8,558,31609,10
2024-02-15,Prospecting_Lookalike,446.53,539,30179,13
2024-02-15,Retargeting_Catalog,339.88,410,22970,10
2024-02-15,AdvantagePlus_Shopping,378.01,456,25548,11
2024-02-16,Prospecting_Lookalike,597.23,739,41424,18
2024-02-16,Retargeting_Catalog,329.59,407,22860,10
2024-02-16,AdvantagePlus_Shopping,647.2,801,44890,19
2024-02-17,Prospecting_Lookalike,428.92,492,23354,9
2024-02-17,Retargeting_Catalog,318.98,366,17368,6
2024-02-17,AdvantagePlus_Shopping,507.91,583,27655,11
2024-02-18,Prospecting_Lookalike,493.65,577,39065,10
2024-02-18,Retargeting_Catalog,296.09,346,23431,6
2024-02-18,AdvantagePlus_Shopping,623.57,729,49347,12
2024-02-19,Prospecting_Lookalike,616.01,735,41158,15
2024-02-19,Retargeting_Catalog,500.61,598,33447,12
2024-02-19,AdvantagePlus_Shopping,773.11,923,51654,19
2024-02-20,Prospecting_Lookalike,579.11,681,46158,16
2024-02-20,Retargeting_Catalog,477.24,561,38038,13
2024-02-20,AdvantagePlus_Shopping,681.54,801,54322,19
2024-02-21,Prospecting_Lookalike,509.02,649,49063,14
2024-02-21,Retargeting_Catalog,451.1,575,43480,12
2024-02-21,AdvantagePlus_Shopping,544.79,695,52511,15
2024-02-22,Prospecting_Lookalike,571.4,659,39894,14
2024-02-22,Retargeting_Catalog,349.9,403,24429,9
2024-02-22,AdvantagePlus_Shopping,719.71,830,50248,18
2024-02-23,Prospecting_Lookalike,394.39,431,22923,8
2024-02-23,Retargeting_Catalog,428.1,468,24883,9
2024-02-23,AdvantagePlus_Shopping,617.58,675,35896,13
2024-02-24,Prospecting_Lookalike,481.91,586,35746,12
2024-02-24,Retargeting_Catalog,359.48,437,26664,9
2024-02-24,AdvantagePlus_Shopping,515.91,627,38267,13
2024-02-25,Prospecting_Lookalike,904.53,1107,58911,26
2024-02-25,Retargeting_Catalog,539.13,659,35113,15
2024-02-25,AdvantagePlus_Shopping,724.19,886,47166,21
2024-02-26,Prospecting_Lookalike,538.26,628,34480,14
2024-02-26,Retargeting_Catalog,334.0,389,21396,8
2024-02-26,AdvantagePlus_Shopping,558.83,651,35798,14
2024-02-27,Prospecting_Lookalike,329.02,341,19253,7
2024-02-27,Retargeting_Catalog,193.58,200,11327,4
2024-02-27,AdvantagePlus_Shopping,324.81,336,19007,7
2024-02-28,Prospecting_Lookalike,494.87,553,26952,10
2024-02-28,Retargeting_Catalog,434.62,485,23670,8
2024-02-28,AdvantagePlus_Shopping,599.08,669,32627,12
2024-02-29,Prospecting_Lookalike,631.89,746,44405,19
2024-02-29,Retargeting_Catalog,344.86,407,24235,10
2024-02-29,AdvantagePlus_Shopping,611.38,722,42964,18
2024-03-01,Prospecting_Lookalike,545.83,640,34151,11
2024-03-01,Retargeting_Catalog,391.74,459,24510,8
2024-03-01,AdvantagePlus_Shopping,806.39,946,50454,17
2024-03-02,Prospecting_Lookalike,500.55,557,38708,12
2024-03-02,Retargeting_Catalog,260.08,289,20112,6
2024-03-02,AdvantagePlus_Shopping,427.28,475,33042,10
2024-03-03,Prospecting_Lookalike,629.41,773,42501,16
2024-03-03,Retargeting_Catalog,478.07,587,32281,12
2024-03-03,AdvantagePlus_Shopping,749.17,920,50588,19
2024-03-04,Prospecting_Lookalike,310.15,354,20273,7
2024-03-04,Retargeting_Catalog,207.51,237,13564,5
2024-03-04,AdvantagePlus_Shopping,341.17,389,22301,8
2024-03-05,Prospecting_Lookalike,635.46,788,50439,18
2024-03-05,Retargeting_Catalog,508.41,630,40355,14
2024-03-05,AdvantagePlus_Shopping,641.13,795,50889,18
2024-03-06,Prospecting_Lookalike,854.42,963,51241,19
2024-03-06,Retargeting_Catalog,456.66,514,27386,10
2024-03-06,AdvantagePlus_Shopping,662.81,747,39749,15
2024-03-07,Prospecting_Lookalike,488.67,582,35279,12
2024-03-07,Retargeting_Catalog,522.57,623,37727,12
2024-03-07,AdvantagePlus_Shopping,753.72,899,54415,18
2024-03-08,Prospecting_Lookalike,597.79,696,32454,13
2024-03-08,Retargeting_Catalog,448.5,522,24349,10
2024-03-08,AdvantagePlus_Shopping,809.43,943,43943,18
2024-03-09,Prospecting_Lookalike,393.71,470,35856,11
2024-03-09,Retargeting_Catalog,343.54,410,31286,9
2024-03-09,AdvantagePlus_Shopping,421.75,504,38409,12
2024-03-10,Prospecting_Lookalike,619.73,705,38143,15
2024-03-10,Retargeting_Catalog,418.21,476,25739,10
2024-03-10,AdvantagePlus_Shopping,738.5,840,45453,18
2024-03-11,Prospecting_Lookalike,632.62,750,41482,17
2024-03-11,Retargeting_Catalog,332.82,394,21823,9
2024-03-11,AdvantagePlus_Shopping,551.01,653,36131,14
2024-03-12,Prospecting_Lookalike,493.09,526,30191,12
2024-03-12,Retargeting_Catalog,260.46,278,15947,6
2024-03-12,AdvantagePlus_Shopping,342.62,365,20978,8
2024-03-13,Prospecting_Lookalike,495.23,546,32237,14
2024-03-13,Retargeting_Catalog,393.66,434,25625,11
2024-03-13,AdvantagePlus_Shopping,586.99,647,38210,16
2024-03-14,Prospecting_Lookalike,415.21,520,28688,13
2024-03-14,Retargeting_Catalog,334.73,419,23127,10
2024-03-14,AdvantagePlus_Shopping,487.65,611,33692,15
2024-03-15,Prospecting_Lookalike,432.57,504,25052,11
2024-03-15,Retargeting_Catalog,294.38,343,17048,7
2024-03-15,AdvantagePlus_Shopping,589.03,686,34113,15
2024-03-16,Prospecting_Lookalike,500.26,568,38806,12
2024-03-16,Retargeting_Catalog,354.43,402,27493,8
2024-03-16,AdvantagePlus_Shopping,655.39,745,50839,16
2024-03-17,Prospecting_Lookalike,665.25,799,48804,16
2024-03-17,Retargeting_Catalog,389.91,468,28604,9
2024-03-17,AdvantagePlus_Shopping,525.37,631,38542,12
2024-03-18,Prospecting_Lookalike,472.22,525,33054,12
2024-03-18,Retargeting_Catalog,494.96,550,34646,12
2024-03-18,AdvantagePlus_Shopping,561.01,624,39269,14
2024-03-19,Prospecting_Lookalike,380.37,425,26921,9
2024-03-19,Retargeting_Catalog,394.06,440,27890,10
2024-03-19,AdvantagePlus_Shopping,439.09,491,31077,11
2024-03-20,Prospecting_Lookalike,574.01,677,36274,13
2024-03-20,Retargeting_Catalog,564.27,666,35658,13
2024-03-20,AdvantagePlus_Shopping,717.31,847,45329,17
2024-03-21,Prospecting_Lookalike,375.28,421,21997,9
2024-03-21,Retargeting_Catalog,289.78,325,16986,7
2024-03-21,AdvantagePlus_Shopping,510.11,573,29901,13
2024-03-22,Prospecting_Lookalike,545.71,723,35960,17
2024-03-22,Retargeting_Catalog,408.12,541,26893,12
2024-03-22,AdvantagePlus_Shopping,540.64,717,35626,16
2024-03-23,Prospecting_Lookalike,555.71,614,31988,11
2024-03-23,Retargeting_Catalog,582.17,643,33511,12
2024-03-23,AdvantagePlus_Shopping,617.01,682,35516,13
2024-03-24,Prospecting_Lookalike,363.04,409,21152,9
2024-03-24,Retargeting_Catalog,300.59,339,17513,7
2024-03-24,AdvantagePlus_Shopping,458.23,517,26698,11
2024-03-25,Prospecting_Lookalike,352.71,437,28808,9
2024-03-25,Retargeting_Catalog,357.16,442,29172,9
2024-03-25,AdvantagePlus_Shopping,518.44,642,42345,13
2024-03-26,Prospecting_Lookalike,446.18,518,24734,11
2024-03-26,Retargeting_Catalog,363.04,421,20125,9
2024-03-26,AdvantagePlus_Shopping,567.78,659,31474,14
2024-03-27,Prospecting_Lookalike,627.61,815,46408,16
2024-03-27,Retargeting_Catalog,377.99,491,27950,9
2024-03-27,AdvantagePlus_Shopping,551.75,717,40799,14
2024-03-28,Prospecting_Lookalike,630.37,768,38321,14
2024-03-28,Retargeting_Catalog,560.33,683,34063,12
2024-03-28,AdvantagePlus_Shopping,586.41,715,35648,13
2024-03-29,Prospecting_Lookalike,706.68,790,51850,16
2024-03-29,Retargeting_Catalog,410.05,458,30086,9
2024-03-29,AdvantagePlus_Shopping,661.74,740,48552,15
2024-03-30,Prospecting_Lookalike,434.52,511,29193,10
2024-03-30,Retargeting_Catalog,398.06,468,26744,9
2024-03-30,AdvantagePlus_Shopping,554.39,652,37248,13
2024-03-31,Prospecting_Lookalike,685.02,808,40648,18
2024-03-31,Retargeting_Catalog,479.89,566,28475,12
2024-03-31,AdvantagePlus_Shopping,801.37,945,47552,21
2024-04-01,Prospecting_Lookalike,599.81,703,38981,15
2024-04-01,Retargeting_Catalog,353.9,415,22999,9
2024-04-01,AdvantagePlus_Shopping,553.74,649,35986,14
2024-04-02,Prospecting_Lookalike,563.78,665,40333,14
2024-04-02,Retargeting_Catalog,495.67,584,35460,13
2024-04-02,AdvantagePlus_Shopping,535.15,631,38284,14
2024-04-03,Prospecting_Lookalike,565.29,635,30808,12
2024-04-03,Retargeting_Catalog,526.21,591,28679,11
2024-04-03,AdvantagePlus_Shopping,628.01,705,34227,13
2024-04-04,Prospecting_Lookalike,414.23,501,32038,9
2024-04-04,Retargeting_Catalog,234.48,283,18136,5
2024-04-04,AdvantagePlus_Shopping,432.51,523,33453,10
2024-04-05,Prospecting_Lookalike,422.99,487,27166,10
2024-04-05,Retargeting_Catalog,403.14,464,25891,9
2024-04-05,AdvantagePlus_Shopping,534.05,615,34299,12
2024-04-06,Prospecting_Lookalike,571.59,710,36849,15
2024-04-06,Retargeting_Catalog,441.01,548,28430,11
2024-04-06,AdvantagePlus_Shopping,721.38,896,46505,19
2024-04-07,Prospecting_Lookalike,483.93,550,24786,11
2024-04-07,Retargeting_Catalog,405.69,461,20779,9
2024-04-07,AdvantagePlus_Shopping,424.45,482,21740,10
2024-04-08,Prospecting_Lookalike,467.87,558,32701,12
2024-04-08,Retargeting_Catalog,492.79,588,34444,13
2024-04-08,AdvantagePlus_Shopping,604.91,722,42280,16
2024-04-09,Prospecting_Lookalike,365.97,431,24715,10
2024-04-09,Retargeting_Catalog,294.64,347,19898,8
2024-04-09,AdvantagePlus_Shopping,504.99,595,34104,13
2024-04-10,Prospecting_Lookalike,267.86,320,18722,6
2024-04-10,Retargeting_Catalog,232.68,278,16263,5
2024-04-10,AdvantagePlus_Shopping,358.64,428,25067,8
2024-04-11,Prospecting_Lookalike,425.07,505,27353,10
2024-04-11,Retargeting_Catalog,409.05,486,26322,9
2024-04-11,AdvantagePlus_Shopping,504.53,599,32466,11
2024-04-12,Prospecting_Lookalike,656.06,809,42237,17
2024-04-12,Retargeting_Catalog,536.07,661,34512,14
2024-04-12,AdvantagePlus_Shopping,663.46,819,42713,17
2024-04-13,Prospecting_Lookalike,642.46,744,36862,15
2024-04-13,Retargeting_Catalog,442.63,512,25396,10
2024-04-13,AdvantagePlus_Shopping,583.67,676,33488,14
2024-04-14,Prospecting_Lookalike,636.78,730,37413,16
2024-04-14,Retargeting_Catalog,450.42,516,26464,11
2024-04-14,AdvantagePlus_Shopping,826.35,947,48551,21
2024-04-15,Prospecting_Lookalike,642.58,806,47414,17
2024-04-15,Retargeting_Catalog,385.33,483,28432,10
2024-04-15,AdvantagePlus_Shopping,670.66,841,49486,18
2024-04-16,Prospecting_Lookalike,405.0,489,24961,12
2024-04-16,Retargeting_Catalog,277.29,335,17090,8
2024-04-16,AdvantagePlus_Shopping,436.73,528,26917,13
2024-04-17,Prospecting_Lookalike,630.57,740,40735,13
2024-04-17,Retargeting_Catalog,725.18,851,46846,15
2024-04-17,AdvantagePlus_Shopping,809.65,951,52304,17
2024-04-18,Prospecting_Lookalike,503.34,609,31253,14
2024-04-18,Retargeting_Catalog,348.44,421,21635,9
2024-04-18,AdvantagePlus_Shopping,651.24,788,40437,18
2024-04-19,Prospecting_Lookalike,508.24,603,30808,13
2024-04-19,Retargeting_Catalog,523.99,622,31762,13
2024-04-19,AdvantagePlus_Shopping,489.23,581,29655,13
2024-04-20,Prospecting_Lookalike,471.15,515,24226,9
2024-04-20,Retargeting_Catalog,296.61,324,15251,6
2024-04-20,AdvantagePlus_Shopping,512.95,560,26375,10
2024-04-21,Prospecting_Lookalike,536.08,662,38296,11
2024-04-21,Retargeting_Catalog,523.98,647,37432,11
2024-04-21,AdvantagePlus_Shopping,608.31,751,43457,13
2024-04-22,Prospecting_Lookalike,462.54,610,36093,11
2024-04-22,Retargeting_Catalog,431.54,569,33674,11
2024-04-22,AdvantagePlus_Shopping,519.98,686,40575,13
2024-04-23,Prospecting_Lookalike,404.22,489,25891,11
2024-04-23,Retargeting_Catalog,430.25,520,27559,12
2024-04-23,AdvantagePlus_Shopping,512.08,619,32800,15
2024-04-24,Prospecting_Lookalike,385.14,460,22590,10
2024-04-24,Retargeting_Catalog,501.25,598,29400,14
2024-04-24,AdvantagePlus_Shopping,473.25,565,27757,13
2024-04-25,Prospecting_Lookalike,543.16,653,36092,13
2024-04-25,Retargeting_Catalog,431.86,519,28696,11
2024-04-25,AdvantagePlus_Shopping,606.26,729,40285,15
2024-04-26,Prospecting_Lookalike,650.26,755,36850,15
2024-04-26,Retargeting_Catalog,414.24,481,23474,10
2024-04-26,AdvantagePlus_Shopping,735.45,854,41678,18
2024-04-27,Prospecting_Lookalike,421.18,520,26862,10
2024-04-27,Retargeting_Catalog,386.45,477,24646,9
2024-04-27,AdvantagePlus_Shopping,685.65,847,43729,16
2024-04-28,Prospecting_Lookalike,612.3,762,43310,16
2024-04-28,Retargeting_Catalog,507.48,631,35896,13
2024-04-28,AdvantagePlus_Shopping,528.74,658,37400,14
2024-04-29,Prospecting_Lookalike,529.41,643,33629,13
2024-04-29,Retargeting_Catalog,570.83,693,36260,14
2024-04-29,AdvantagePlus_Shopping,622.53,756,39545,15
2024-04-30,Prospecting_Lookalike,468.07,568,33163,14
2024-04-30,Retargeting_Catalog,389.1,472,27568,11
2024-04-30,AdvantagePlus_Shopping,614.17,745,43515,18
2024-05-01,Prospecting_Lookalike,613.06,655,35474,12
2024-05-01,Retargeting_Catalog,555.82,594,32162,11
2024-05-01,AdvantagePlus_Shopping,512.54,548,29658,10
2024-05-02,Prospecting_Lookalike,405.86,444,28060,9
2024-05-02,Retargeting_Catalog,420.67,461,29084,10
2024-05-02,AdvantagePlus_Shopping,465.49,510,32182,11
2024-05-03,Prospecting_Lookalike,488.5,623,34898,15
2024-05-03,Retargeting_Catalog,475.7,607,33983,15
2024-05-03,AdvantagePlus_Shopping,522.66,667,37338,16
2024-05-04,Prospecting_Lookalike,385.46,498,24936,11
2024-05-04,Retargeting_Catalog,288.79,373,18682,8
2024-05-04,AdvantagePlus_Shopping,468.11,605,30283,14
2024-05-05,Prospecting_Lookalike,667.89,788,40375,15
2024-05-05,Retargeting_Catalog,773.82,913,46779,17
2024-05-05,AdvantagePlus_Shopping,791.74,934,47862,18
2024-05-06,Prospecting_Lookalike,598.6,645,33568,12
2024-05-06,Retargeting_Catalog,579.1,624,32474,11
2024-05-06,AdvantagePlus_Shopping,651.55,703,36537,13
2024-05-07,Prospecting_Lookalike,490.45,559,30107,12
2024-05-07,Retargeting_Catalog,398.93,454,24489,10
2024-05-07,AdvantagePlus_Shopping,526.41,600,32314,13
2024-05-08,Prospecting_Lookalike,690.76,813,44410,17
2024-05-08,Retargeting_Catalog,414.59,488,26654,10
2024-05-08,AdvantagePlus_Shopping,768.81,905,49428,19
2024-05-09,Prospecting_Lookalike,602.09,723,46796,17
2024-05-09,Retargeting_Catalog,440.35,529,34225,12
2024-05-09,AdvantagePlus_Shopping,636.69,765,49485,18
2024-05-10,Prospecting_Lookalike,583.72,653,37150,14
2024-05-10,Retargeting_Catalog,466.26,521,29674,11
2024-05-10,AdvantagePlus_Shopping,533.46,597,33951,13
2024-05-11,Prospecting_Lookalike,509.59,594,32361,12
2024-05-11,Retargeting_Catalog,561.43,654,35653,13
2024-05-11,AdvantagePlus_Shopping,606.02,706,38485,14
2024-05-12,Prospecting_Lookalike,790.31,859,54559,17
2024-05-12,Retargeting_Catalog,451.29,490,31154,10
2024-05-12,AdvantagePlus_Shopping,998.33,1085,68920,22
2024-05-13,Prospecting_Lookalike,449.56,574,39614,11
2024-05-13,Retargeting_Catalog,317.59,405,27985,7
2024-05-13,AdvantagePlus_Shopping,435.59,556,38383,10
2024-05-14,Prospecting_Lookalike,410.02,472,23327,10
2024-05-14,Retargeting_Catalog,377.89,435,21499,9
2024-05-14,AdvantagePlus_Shopping,413.95,477,23551,10
2024-05-15,Prospecting_Lookalike,466.9,564,31167,10
2024-05-15,Retargeting_Catalog,356.41,430,23791,8
2024-05-15,AdvantagePlus_Shopping,592.39,715,39544,13
2024-05-16,Prospecting_Lookalike,462.29,533,28953,12
2024-05-16,Retargeting_Catalog,348.75,402,21842,9
2024-05-16,AdvantagePlus_Shopping,450.88,520,28238,12
2024-05-17,Prospecting_Lookalike,309.25,359,18796,8
2024-05-17,Retargeting_Catalog,269.5,313,16379,7
2024-05-17,AdvantagePlus_Shopping,296.57,344,18025,7
2024-05-18,Prospecting_Lookalike,378.37,434,27107,9
2024-05-18,Retargeting_Catalog,303.65,348,21753,7
2024-05-18,AdvantagePlus_Shopping,431.73,495,30929,11
2024-05-19,Prospecting_Lookalike,553.02,621,36170,11
2024-05-19,Retargeting_Catalog,350.37,393,22915,7
2024-05-19,AdvantagePlus_Shopping,643.59,723,42093,13
2024-05-20,Prospecting_Lookalike,598.01,660,31423,14
2024-05-20,Retargeting_Catalog,420.65,464,22103,10
2024-05-20,AdvantagePlus_Shopping,524.07,578,27538,12
2024-05-21,Prospecting_Lookalike,438.5,472,27756,9
2024-05-21,Retargeting_Catalog,382.61,412,24218,8
2024-05-21,AdvantagePlus_Shopping,582.87,628,36894,13
2024-05-22,Prospecting_Lookalike,632.66,743,42566,16
2024-05-22,Retargeting_Catalog,593.81,697,39951,15
2024-05-22,AdvantagePlus_Shopping,752.5,884,50629,19
2024-05-23,Prospecting_Lookalike,501.03,604,36288,13
2024-05-23,Retargeting_Catalog,344.42,415,24945,9
2024-05-23,AdvantagePlus_Shopping,554.66,669,40173,15
2024-05-24,Prospecting_Lookalike,506.82,632,38294,13
2024-05-24,Retargeting_Catalog,381.38,475,28816,9
2024-05-24,AdvantagePlus_Shopping,576.31,719,43545,14
2024-05-25,Prospecting_Lookalike,320.27,369,18268,7
2024-05-25,Retargeting_Catalog,258.39,297,14738,6
2024-05-25,AdvantagePlus_Shopping,367.29,423,20950,8
2024-05-26,Prospecting_Lookalike,527.92,597,45781,13
2024-05-26,Retargeting_Catalog,436.87,494,37885,11
2024-05-26,AdvantagePlus_Shopping,682.24,771,59163,17
2024-05-27,Prospecting_Lookalike,618.13,776,45444,15
2024-05-27,Retargeting_Catalog,522.74,656,38430,12
2024-05-27,AdvantagePlus_Shopping,555.11,697,40810,13
2024-05-28,Prospecting_Lookalike,327.5,365,19805,7
2024-05-28,Retargeting_Catalog,323.31,360,19551,7
2024-05-28,AdvantagePlus_Shopping,365.23,407,22087,8
2024-05-29,Prospecting_Lookalike,402.78,475,22248,10
2024-05-29,Retargeting_Catalog,356.55,421,19694,9
2024-05-29,AdvantagePlus_Shopping,387.3,457,21392,9
2024-05-30,Prospecting_Lookalike,592.88,741,47112,17
2024-05-30,Retargeting_Catalog,381.36,476,30304,11
2024-05-30,AdvantagePlus_Shopping,654.26,817,51989,19
2024-05-31,Prospecting_Lookalike,538.19,659,42841,12
2024-05-31,Retargeting_Catalog,401.06,491,31924,9
2024-05-31,AdvantagePlus_Shopping,509.45,624,40553,12
2024-06-01,Prospecting_Lookalike,552.93,680,41804,17
2024-06-01,Retargeting_Catalog,343.47,422,25967,10
2024-06-01,AdvantagePlus_Shopping,595.05,732,44988,18
