Date,Channel,Sessions,Pageviews,Conversions,Revenue
2024-01-10,Email,645,1624,16,1444.65
2024-01-10,Paid Search,2490,5316,71,5900.63
2024-01-10,Paid Social,1820,4698,42,3581.81
2024-01-11,Organic Search,2881,7110,43,3625.46
2024-01-11,Direct,1646,4011,24,2191.74
2024-01-11,Referral,164,467,4,356.99
2024-01-11,Email,658,1881,16,1428.13
2024-01-11,Paid Search,2066,5155,62,5246.77
2024-01-11,Paid Social,1966,5007,41,3459.09
2024-01-12,Organic Search,2396,5567,35,2950.3
2024-01-12,Direct,1369,3232,20,1713.27
2024-01-12,Referral,136,323,3,257.55
2024-01-12,Email,547,1440,13,1057.27
2024-01-12,Paid Search,1509,3854,48,3821.66
2024-01-12,Paid Social,1366,3344,27,2268.78
2024-01-13,Organic Search,2171,5299,32,2629.33
2024-01-13,Direct,1240,3217,18,1522.85
2024-01-13,Referral,124,298,3,259.74
2024-01-13,Email,496,1366,12,1014.44
2024-01-13,Paid Search,1375,3439,41,3339.64
2024-01-13,Paid Social,1392,3418,32,2741.24
2024-01-14,Organic Search,2766,7285,41,3321.96
2024-01-14,Direct,1580,4236,23,1987.28
2024-01-14,Referral,158,392,3,263.46
2024-01-14,Email,632,1972,15,1296.49
2024-01-14,Paid Search,1307,2974,37,3310.28
2024-01-14,Paid Social,1238,3141,27,2466.0
2024-01-15,Organic Search,3165,8137,47,3928.47
2024-01-15,Direct,1808,4886,27,2278.95
2024-01-15,Referral,180,453,4,348.61
2024-01-15,Email,723,1798,18,1431.84
2024-01-15,Paid Search,1753,4747,52,4615.77
2024-01-15,Paid Social,1515,3232,26,2128.62
2024-01-16,Organic Search,3678,9966,55,4448.85
2024-01-16,Direct,2102,4885,31,2515.33
2024-01-16,Referral,210,412,5,437.63
2024-01-16,Email,840,2340,21,1820.03
2024-01-16,Paid Search,2735,7045,77,6564.63
2024-01-16,Paid Social,2254,5659,54,4864.63
2024-01-17,Organic Search,3652,10288,54,4669.18
2024-01-17,Direct,2087,4889,31,2647.49
2024-01-17,Referral,208,521,5,419.75
2024-01-17,Email,834,2123,20,1644.29
2024-01-17,Paid Search,2607,6973,73,6203.65
2024-01-17,Paid Social,1529,3330,33,2782.41
2024-01-18,Organic Search,2246,4758,33,2899.86
2024-01-18,Direct,1283,2806,19,1696.14
2024-01-18,Referral,128,312,3,258.46
2024-01-18,Email,513,1078,12,1046.26
2024-01-18,Paid Search,1795,4636,48,4168.89
2024-01-18,Paid Social,1470,3954,34,2908.21
2024-01-19,Organic Search,2904,6684,43,3587.56
2024-01-19,Direct,1659,3652,24,2018.73
2024-01-19,Referral,165,406,4,354.35
2024-01-19,Email,663,1522,16,1383.21
2024-01-19,Paid Search,1719,4327,53,4204.09
2024-01-19,Paid Social,1923,4528,41,3390.9
2024-01-20,Organic Search,2721,6786,40,3460.0
2024-01-20,Direct,1555,3586,23,1997.18
2024-01-20,Referral,155,345,3,260.71
2024-01-20,Email,622,1560,15,1211.13
2024-01-20,Paid Search,1360,3587,35,2880.93
2024-01-20,Paid Social,1767,4363,44,3823.18
2024-01-21,Organic Search,2366,6266,35,2919.31
2024-01-21,Direct,1352,3460,20,1775.78
2024-01-21,Referral,135,328,3,266.81
2024-01-21,Email,540,1470,13,1077.32
2024-01-21,Paid Search,1801,4103,55,4702.3
2024-01-21,Paid Social,989,2227,21,1602.0
2024-01-22,Organic Search,2796,6391,41,3386.81
2024-01-22,Direct,1597,4240,23,1996.86
2024-01-22,Referral,159,437,3,260.02
2024-01-22,Email,639,1517,15,1266.14
2024-01-22,Paid Search,1957,4320,56,4865.53
2024-01-22,Paid Social,1358,3224,22,1950.8
2024-01-23,Organic Search,2922,7146,43,3799.03
2024-01-23,Direct,1670,4197,25,2037.12
2024-01-23,Referral,167,393,4,348.56
2024-01-23,Email,668,1613,16,1307.53
2024-01-23,Paid Search,2379,5986,59,4875.19
2024-01-23,Paid Social,1611,4181,32,2754.84
2024-01-24,Organic Search,2623,5838,39,3279.67
2024-01-24,Direct,1499,3319,22,1922.14
2024-01-24,Referral,149,353,3,254.07
2024-01-24,Email,599,1476,14,1194.88
2024-01-24,Paid Search,1759,4342,50,4104.25
2024-01-24,Paid Social,996,2506,22,1817.57
2024-01-25,Organic Search,3042,7541,45,3604.54
2024-01-25,Direct,1738,4068,26,2238.78
2024-01-25,Referral,173,422,4,335.28
2024-01-25,Email,695,1765,17,1463.29
2024-01-25,Paid Search,2172,4895,51,4522.19
2024-01-25,Paid Social,1465,3624,32,2760.29
2024-01-26,Organic Search,2725,6957,40,3581.9
2024-01-26,Direct,1557,3923,23,1950.58
2024-01-26,Referral,155,417,3,268.8
2024-01-26,Email,622,1640,15,1320.52
2024-01-26,Paid Search,1869,4591,54,4610.32
2024-01-26,Paid Social,1700,4755,36,3116.88
2024-01-27,Organic Search,2057,5919,30,2474.5
2024-01-27,Direct,1175,2738,17,1424.72
2024-01-27,Referral,117,282,2,166.37
2024-01-27,Email,470,1140,11,938.03
2024-01-27,Paid Search,1076,2496,32,2800.71
2024-01-27,Paid Social,1021,2840,20,1583.32
2024-01-28,Organic Search,3102,7711,46,4062.78
2024-01-28,Direct,1772,4534,26,2255.54
2024-01-28,Referral,177,423,4,353.83
2024-01-28,Email,709,1816,17,1431.52
2024-01-28,Paid Search,2081,5331,55,4556.98
2024-01-28,Paid Social,1418,3461,31,2629.86
2024-01-29,Organic Search,2915,6474,43,3606.19
2024-01-29,Direct,1665,3658,24,2045.95
2024-01-29,Referral,166,404,4,331.78
2024-01-29,Email,666,1523,16,1408.8
2024-01-29,Paid Search,1942,4792,54,4623.94
2024-01-29,Paid Social,949,2406,20,1706.48
2024-01-30,Organic Search,2780,6361,41,3311.32
2024-01-30,Direct,1588,4138,23,1950.21
2024-01-30,Referral,158,394,3,247.82
2024-01-30,Email,635,1637,15,1255.81
2024-01-30,Paid Search,2163,5387,69,5764.26
2024-01-30,Paid Social,1246,2915,27,2278.23
2024-01-31,Organic Search,3128,7854,46,4185.34
2024-01-31,Direct,1787,4201,26,2236.8
2024-01-31,Referral,178,489,4,357.81
2024-01-31,Email,715,1749,17,1341.72
2024-01-31,Paid Search,2391,5793,64,5774.77
2024-01-31,Paid Social,1742,4089,40,3434.94
2024-02-01,Organic Search,2542,5606,38,3148.62
2024-02-01,Direct,1452,3513,21,1721.71
2024-02-01,Referral,145,392,3,243.17
2024-02-01,Email,581,1340,14,1161.57
2024-02-01,Paid Search,2449,6535,63,5629.52
2024-02-01,Paid Social,1047,2726,23,1864.36
2024-02-02,Organic Search,3620,8495,54,4610.32
2024-02-02,Direct,2068,5198,31,2730.53
2024-02-02,Referral,206,495,5,425.73
2024-02-02,Email,827,2043,20,1836.44
2024-02-02,Paid Search,2451,5758,75,6288.46
2024-02-02,Paid Social,1967,4540,42,3734.28
2024-02-03,Organic Search,3299,8326,49,3774.8
2024-02-03,Direct,1885,4070,28,2291.49
2024-02-03,Referral,188,469,4,327.74
2024-02-03,Email,754,1750,18,1579.35
2024-02-03,Paid Search,1756,4807,56,4919.51
2024-02-03,Paid Social,1777,3861,35,3074.02
2024-02-04,Organic Search,2710,6689,40,3488.3
2024-02-04,Direct,1548,3976,23,1879.22
2024-02-04,Referral,154,420,3,255.86
2024-02-04,Email,619,1784,15,1269.06
2024-02-04,Paid Search,1928,5266,53,4448.02
2024-02-04,Paid Social,1300,3188,32,2767.43
2024-02-05,Organic Search,2579,6582,38,3312.01
2024-02-05,Direct,1474,3756,22,1784.92
2024-02-05,Referral,147,341,3,251.12
2024-02-05,Email,589,1500,14,1135.53
2024-02-05,Paid Search,1569,4364,47,4039.12
2024-02-05,Paid Social,1585,4053,41,3463.7
2024-02-06,Organic Search,2686,6790,40,3138.16
2024-02-06,Direct,1535,3835,23,1960.44
2024-02-06,Referral,153,399,3,258.07
2024-02-06,Email,614,1378,15,1266.62
2024-02-06,Paid Search,2243,5900,68,5865.28
2024-02-06,Paid Social,1764,4134,44,3794.9
2024-02-07,Organic Search,4166,10661,62,5374.54
2024-02-07,Direct,2381,5756,35,2912.43
2024-02-07,Referral,238,555,5,406.1
2024-02-07,Email,952,2518,23,1976.16
2024-02-07,Paid Search,2566,7173,68,5892.14
2024-02-07,Paid Social,2424,6177,56,4427.13
2024-02-08,Organic Search,2796,7351,41,3642.03
2024-02-08,Direct,1598,4068,23,2039.11
2024-02-08,Referral,159,403,3,263.74
2024-02-08,Email,639,1634,15,1275.63
2024-02-08,Paid Search,1784,4736,48,4057.49
2024-02-08,Paid Social,1207,3369,22,1849.18
2024-02-09,Organic Search,2946,8348,44,3687.84
2024-02-09,Direct,1683,3718,25,2110.3
2024-02-09,Referral,168,405,4,355.13
2024-02-09,Email,673,1428,16,1312.4
2024-02-09,Paid Search,2058,5458,62,4978.06
2024-02-09,Paid Social,2265,5922,41,3403.16
2024-02-10,Organic Search,2956,7011,44,3724.01
2024-02-10,Direct,1689,4425,25,2160.28
2024-02-10,Referral,168,451,4,345.7
2024-02-10,Email,675,1883,16,1442.77
2024-02-10,Paid Search,2020,5172,63,5291.42
2024-02-10,Paid Social,2026,4992,42,3327.39
2024-02-11,Organic Search,2294,5550,34,2813.69
2024-02-11,Direct,1311,3254,19,1693.39
2024-02-11,Referral,131,259,3,257.79
2024-02-11,Email,524,1345,13,1102.62
2024-02-11,Paid Search,1510,3862,43,3721.34
2024-02-11,Paid Social,1160,2936,25,1972.37
2024-02-12,Organic Search,3905,9780,58,5113.24
2024-02-12,Direct,2231,5083,33,2868.02
2024-02-12,Referral,223,488,5,401.07
2024-02-12,Email,892,2381,22,1806.18
2024-02-12,Paid Search,2804,7110,73,5946.99
2024-02-12,Paid Social,1719,4393,37,2960.84
2024-02-13,Organic Search,3487,7817,52,4609.89
2024-02-13,Direct,1993,5142,29,2401.96
2024-02-13,Referral,199,505,4,337.14
2024-02-13,Email,797,1743,19,1630.61
2024-02-13,Paid Search,2729,7717,87,7763.53
2024-02-13,Paid Social,2112,5323,47,3933.53
2024-02-14,Organic Search,4355,11443,65,5578.46
2024-02-14,Direct,2489,6247,37,3109.82
2024-02-14,Referral,248,619,6,491.26
2024-02-14,Email,995,2470,24,1955.88
2024-02-14,Paid Search,2926,6846,78,6917.48
2024-02-14,Paid Social,2179,5962,41,3382.02
2024-02-15,Organic Search,2564,6746,38,3223.51
2024-02-15,Direct,1465,3237,21,1916.21
2024-02-15,Referral,146,353,3,248.58
2024-02-15,Email,586,1322,14,1196.37
2024-02-15,Paid Search,1803,4520,49,4147.31
2024-02-15,Paid Social,1069,2992,26,2261.37
2024-02-16,Organic Search,2752,5898,41,3424.85
2024-02-16,Direct,1572,4103,23,1991.8
2024-02-16,Referral,157,364,3,260.97
2024-02-16,Email,629,1604,15,1226.34
2024-02-16,Paid Search,1764,4197,50,3958.31
2024-02-16,Paid Social,1454,3288,36,2856.55
2024-02-17,Organic Search,2517,6537,37,3185.84
2024-02-17,Direct,1438,3746,21,1691.38
2024-02-17,Referral,143,366,3,265.04
2024-02-17,Email,575,1264,14,1263.06
2024-02-17,Paid Search,1792,4598,55,4693.1
2024-02-17,Paid Social,1311,3027,25,2077.24
2024-02-18,Organic Search,2647,6511,39,3274.58
2024-02-18,Direct,1512,3883,22,1853.99
2024-02-18,Referral,151,316,3,252.71
2024-02-18,Email,605,1381,15,1287.04
2024-02-18,Paid Search,1787,4456,53,4399.46
2024-02-18,Paid Social,1230,3306,22,1865.34
2024-02-19,Organic Search,2937,7306,44,3719.1
2024-02-19,Direct,1678,4612,25,2116.76
2024-02-19,Referral,167,446,4,339.65
2024-02-19,Email,671,1355,16,1391.87
2024-02-19,Paid Search,1644,4427,47,3948.74
2024-02-19,Paid Social,1874,4251,40,3582.59
2024-02-20,Organic Search,3391,9029,50,4045.7
2024-02-20,Direct,1937,4862,29,2532.31
2024-02-20,Referral,193,448,4,361.6
2024-02-20,Email,775,1860,19,1673.14
2024-02-20,Paid Search,2893,7632,83,6883.75
2024-02-20,Paid Social,1943,4863,47,4187.34
2024-02-21,Organic Search,4212,12201,63,5211.56
2024-02-21,Direct,2407,6009,36,3027.24
2024-02-21,Referral,240,569,6,505.41
2024-02-21,Email,962,2317,24,1992.62
2024-02-21,Paid Search,3355,8189,94,7805.51
2024-02-21,Paid Social,2397,6147,52,4271.07
2024-02-22,Organic Search,2753,6475,41,3406.87
2024-02-22,Direct,1573,3935,23,1910.39
2024-02-22,Referral,157,353,3,251.8
2024-02-22,Email,629,1700,15,1308.94
2024-02-22,Paid Search,1955,4615,56,4697.28
2024-02-22,Paid Social,1640,3844,36,2923.76
2024-02-23,Organic Search,2994,8178,44,3863.07
2024-02-23,Direct,1711,4594,25,2081.22
2024-02-23,Referral,171,379,4,355.25
2024-02-23,Email,684,1869,17,1342.81
2024-02-23,Paid Search,2220,6160,50,4303.23
2024-02-23,Paid Social,1325,3347,27,2228.38
2024-02-24,Organic Search,2447,6017,36,2847.89
2024-02-24,Direct,1398,3207,20,1598.06
2024-02-24,Referral,139,326,3,250.2
2024-02-24,Email,559,1299,13,1194.71
2024-02-24,Paid Search,1743,4292,47,4182.27
2024-02-24,Paid Social,1221,3191,27,2278.23
2024-02-25,Organic Search,2662,7420,39,3409.39
2024-02-25,Direct,1521,3709,22,1857.13
2024-02-25,Referral,152,345,3,260.86
2024-02-25,Email,608,1716,15,1242.29
2024-02-25,Paid Search,1939,4613,55,5000.64
2024-02-25,Paid Social,1954,4918,46,3699.68
2024-02-26,Organic Search,2701,7345,40,3439.99
2024-02-26,Direct,1543,3518,23,1967.82
2024-02-26,Referral,154,398,3,251.77
2024-02-26,Email,617,1383,15,1226.01
2024-02-26,Paid Search,1761,3843,45,4113.89
2024-02-26,Paid Social,1460,3145,33,2680.83
2024-02-27,Organic Search,4149,11435,62,4884.3
2024-02-27,Direct,2371,6207,35,3001.53
2024-02-27,Referral,237,589,5,446.66
2024-02-27,Email,948,1970,23,1963.64
2024-02-27,Paid Search,3265,8830,93,7451.51
2024-02-27,Paid Social,1423,3726,32,2751.24
2024-02-28,Organic Search,3389,9110,50,4185.6
2024-02-28,Direct,1936,4658,29,2464.71
2024-02-28,Referral,193,444,4,347.97
2024-02-28,Email,774,1889,19,1611.2
2024-02-28,Paid Search,2981,7347,82,7096.46
2024-02-28,Paid Social,1722,4403,32,2903.01
2024-02-29,Organic Search,3971,9748,59,4911.43
2024-02-29,Direct,2269,5616,34,2642.49
2024-02-29,Referral,226,603,5,424.25
2024-02-29,Email,907,2488,22,1871.7
2024-02-29,Paid Search,3515,8928,110,9008.18
2024-02-29,Paid Social,2303,5202,60,5123.89
2024-03-01,Organic Search,3249,7609,48,4082.67
2024-03-01,Direct,1856,4458,27,2364.41
2024-03-01,Referral,185,423,4,350.02
2024-03-01,Email,742,2099,18,1563.36
2024-03-01,Paid Search,2092,4713,65,5685.12
2024-03-01,Paid Social,1978,4751,36,3003.48
2024-03-02,Organic Search,2819,7055,42,3597.62
2024-03-02,Direct,1611,3622,24,2095.55
2024-03-02,Referral,161,398,4,344.09
2024-03-02,Email,644,1593,16,1308.86
2024-03-02,Paid Search,1728,5194,46,3927.38
2024-03-02,Paid Social,1300,2839,29,2456.99
2024-03-03,Organic Search,3131,8526,46,3924.43
2024-03-03,Direct,1789,4016,26,2319.16
2024-03-03,Referral,178,440,4,365.02
2024-03-03,Email,715,1748,17,1404.26
2024-03-03,Paid Search,1735,4233,48,4065.46
2024-03-03,Paid Social,2463,6030,53,4404.4
2024-03-04,Organic Search,3453,8145,51,4204.68
2024-03-04,Direct,1973,5559,29,2613.1
2024-03-04,Referral,197,447,4,341.91
2024-03-04,Email,789,2094,19,1611.24
2024-03-04,Paid Search,2138,5331,59,5142.93
2024-03-04,Paid Social,1259,3285,27,2258.63
2024-03-05,Organic Search,3563,7502,53,4819.73
2024-03-05,Direct,2036,5443,30,2446.98
2024-03-05,Referral,203,433,5,442.71
2024-03-05,Email,814,1814,20,1705.96
2024-03-05,Paid Search,3252,8414,88,7344.18
2024-03-05,Paid Social,1808,4166,42,3330.36
2024-03-06,Organic Search,3285,8092,49,3985.79
2024-03-06,Direct,1877,4046,28,2388.95
2024-03-06,Referral,187,412,4,348.73
2024-03-06,Email,750,2170,18,1542.27
2024-03-06,Paid Search,3279,8370,93,7285.38
2024-03-06,Paid Social,2182,5727,44,3730.07
2024-03-07,Organic Search,4052,10842,60,5051.01
2024-03-07,Direct,2315,5434,34,2905.81
2024-03-07,Referral,231,574,5,424.12
2024-03-07,Email,926,2211,23,1957.83
2024-03-07,Paid Search,3154,8870,83,7226.51
2024-03-07,Paid Social,2330,5888,49,4346.99
2024-03-08,Organic Search,3541,9561,53,4417.07
2024-03-08,Direct,2023,5587,30,2610.21
2024-03-08,Referral,202,464,5,409.05
2024-03-08,Email,809,1986,20,1656.06
2024-03-08,Paid Search,2771,6517,71,6213.88
2024-03-08,Paid Social,2290,5850,45,3991.09
2024-03-09,Organic Search,2654,5759,39,3271.46
2024-03-09,Direct,1516,3829,22,1821.2
2024-03-09,Referral,151,369,3,270.56
2024-03-09,Email,606,1430,15,1202.55
2024-03-09,Paid Search,1754,4303,51,4161.74
2024-03-09,Paid Social,1191,3114,28,2421.75
2024-03-10,Organic Search,3910,8203,58,5247.03
2024-03-10,Direct,2234,5285,33,2775.66
2024-03-10,Referral,223,569,5,422.05
2024-03-10,Email,893,2404,22,1845.58
2024-03-10,Paid Search,2331,5557,68,5970.4
2024-03-10,Paid Social,2376,4641,53,4302.21
2024-03-11,Organic Search,3422,9464,51,4327.62
2024-03-11,Direct,1955,5448,29,2540.52
2024-03-11,Referral,195,492,4,320.76
2024-03-11,Email,782,2015,19,1567.77
2024-03-11,Paid Search,2652,5113,69,5637.3
2024-03-11,Paid Social,1808,5007,42,3586.29
2024-03-12,Organic Search,3747,9298,56,4521.27
2024-03-12,Direct,2141,4703,32,2818.34
2024-03-12,Referral,214,548,5,411.19
2024-03-12,Email,856,2199,21,1786.66
2024-03-12,Paid Search,3731,8415,111,9398.48
2024-03-12,Paid Social,1426,3642,33,2638.32
2024-03-13,Organic Search,4050,10758,60,5313.2
2024-03-13,Direct,2314,5875,34,2999.73
2024-03-13,Referral,231,730,5,404.75
2024-03-13,Email,925,2511,23,2035.94
2024-03-13,Paid Search,3419,7567,91,7835.67
2024-03-13,Paid Social,2340,5779,60,5217.5
2024-03-14,Organic Search,2981,7583,44,3560.26
2024-03-14,Direct,1703,4249,25,1979.04
2024-03-14,Referral,170,384,4,349.52
2024-03-14,Email,681,1619,17,1421.18
2024-03-14,Paid Search,2841,7038,80,7166.9
2024-03-14,Paid Social,1270,2238,32,2629.09
2024-03-15,Organic Search,3972,8581,59,4802.04
2024-03-15,Direct,2270,6178,34,2750.56
2024-03-15,Referral,227,598,5,396.04
2024-03-15,Email,908,1974,22,1903.86
2024-03-15,Paid Search,1790,5009,53,4658.24
2024-03-15,Paid Social,1874,4489,42,3475.31
2024-03-16,Organic Search,3089,8454,46,4111.67
2024-03-16,Direct,1765,4473,26,2095.08
2024-03-16,Referral,176,420,4,356.15
2024-03-16,Email,706,1842,17,1368.55
2024-03-16,Paid Search,2168,5638,60,5090.85
2024-03-16,Paid Social,1942,5199,43,3598.48
2024-03-17,Organic Search,3250,6454,48,4210.32
2024-03-17,Direct,1857,4551,27,2359.34
2024-03-17,Referral,185,447,4,345.75
2024-03-17,Email,742,1939,18,1490.17
2024-03-17,Paid Search,2152,4806,62,5057.03
2024-03-17,Paid Social,1793,4555,37,3128.12
2024-03-18,Organic Search,3724,7906,55,4761.08
2024-03-18,Direct,2128,5155,31,2613.71
2024-03-18,Referral,212,623,5,432.18
2024-03-18,Email,851,2102,21,1758.28
2024-03-18,Paid Search,2652,7667,71,6033.15
2024-03-18,Paid Social,2059,5568,48,4129.51
2024-03-19,Organic Search,4067,8904,61,4874.73
2024-03-19,Direct,2324,5199,34,2891.58
2024-03-19,Referral,232,556,5,425.64
2024-03-19,Email,929,2222,23,2008.88
2024-03-19,Paid Search,3414,8289,94,8298.73
2024-03-19,Paid Social,1945,4674,45,3904.0
2024-03-20,Organic Search,4082,9957,61,5165.13
2024-03-20,Direct,2332,6065,34,2794.11
2024-03-20,Referral,233,536,5,398.57
2024-03-20,Email,933,2358,23,1984.4
2024-03-20,Paid Search,2553,5883,70,5681.89
2024-03-20,Paid Social,2595,6446,53,4608.78
2024-03-21,Organic Search,3724,9469,55,4892.04
2024-03-21,Direct,2128,5224,31,2582.01
2024-03-21,Referral,212,547,5,421.83
2024-03-21,Email,851,2147,21,1849.93
2024-03-21,Paid Search,2860,6489,75,6504.47
2024-03-21,Paid Social,1549,3680,36,3024.64
2024-03-22,Organic Search,2921,7436,43,3779.66
2024-03-22,Direct,1669,3939,25,1916.19
2024-03-22,Referral,166,399,4,325.39
2024-03-22,Email,667,1668,16,1429.13
2024-03-22,Paid Search,2126,5440,58,4885.1
2024-03-22,Paid Social,1462,3979,35,3152.67
2024-03-23,Organic Search,2660,6749,39,3265.17
2024-03-23,Direct,1520,3978,22,1776.88
2024-03-23,Referral,152,408,3,262.55
2024-03-23,Email,608,1582,15,1232.59
2024-03-23,Paid Search,2021,4661,50,4151.2
2024-03-23,Paid Social,1694,3928,33,2834.99
2024-03-24,Organic Search,3164,8262,47,4100.1
2024-03-24,Direct,1808,5059,27,2165.15
2024-03-24,Referral,180,408,4,335.23
2024-03-24,Email,723,1911,18,1584.11
2024-03-24,Paid Search,1934,4874,52,4120.38
2024-03-24,Paid Social,1434,3949,32,2758.5
2024-03-25,Organic Search,3230,7935,48,4218.21
2024-03-25,Direct,1845,3847,27,2173.26
2024-03-25,Referral,184,458,4,339.96
2024-03-25,Email,738,1612,18,1430.23
2024-03-25,Paid Search,2144,4716,58,4980.37
2024-03-25,Paid Social,1358,3605,29,2480.78
2024-03-26,Organic Search,3362,9789,50,4085.13
2024-03-26,Direct,1921,5004,28,2371.34
2024-03-26,Referral,192,480,4,349.04
2024-03-26,Email,768,2018,19,1621.11
2024-03-26,Paid Search,2610,6919,71,6328.31
2024-03-26,Paid Social,1733,4451,38,3323.73
2024-03-27,Organic Search,4603,12304,69,5632.65
2024-03-27,Direct,2630,7023,39,3390.76
2024-03-27,Referral,263,741,6,519.65
2024-03-27,Email,1052,2814,26,2099.19
2024-03-27,Paid Search,4410,10817,121,10249.1
2024-03-27,Paid Social,2678,6896,53,4523.07
2024-03-28,Organic Search,3327,8547,49,4053.29
2024-03-28,Direct,1901,4559,28,2468.19
2024-03-28,Referral,190,531,4,341.0
2024-03-28,Email,760,1854,19,1595.9
2024-03-28,Paid Search,2757,7129,76,5929.52
2024-03-28,Paid Social,2079,5157,38,3107.88
2024-03-29,Organic Search,2832,6522,42,3561.27
2024-03-29,Direct,1618,3730,24,2124.97
2024-03-29,Referral,161,420,4,338.37
2024-03-29,Email,647,1637,16,1431.78
2024-03-29,Paid Search,1835,4025,53,4650.53
2024-03-29,Paid Social,1605,4120,32,2991.88
2024-03-30,Organic Search,3438,9652,51,4162.36
2024-03-30,Direct,1964,4883,29,2487.38
2024-03-30,Referral,196,472,4,323.82
2024-03-30,Email,785,2291,19,1596.46
2024-03-30,Paid Search,2340,5235,69,5703.99
2024-03-30,Paid Social,1717,4333,34,2872.25
2024-03-31,Organic Search,2999,6679,44,3866.16
2024-03-31,Direct,1713,4019,25,2135.65
2024-03-31,Referral,171,437,4,342.0
2024-03-31,Email,685,1678,17,1477.77
2024-03-31,Paid Search,2001,5479,53,4504.87
2024-03-31,Paid Social,1815,4032,41,3345.81
2024-04-01,Organic Search,3548,8772,53,4734.24
2024-04-01,Direct,2027,4582,30,2443.2
2024-04-01,Referral,202,501,5,431.44
2024-04-01,Email,811,1878,20,1747.59
2024-04-01,Paid Search,2992,7959,76,6448.79
2024-04-01,Paid Social,2133,5142,48,4104.19
2024-04-02,Organic Search,3498,9569,52,4431.86
2024-04-02,Direct,1999,4541,29,2471.73
2024-04-02,Referral,199,493,4,360.73
2024-04-02,Email,799,2245,19,1562.54
2024-04-02,Paid Search,2646,6986,68,5662.25
2024-04-02,Paid Social,1855,4279,41,3636.59
2024-04-03,Organic Search,3190,7666,47,3876.06
2024-04-03,Direct,1823,4461,27,2327.28
2024-04-03,Referral,182,436,4,341.84
2024-04-03,Email,729,1872,18,1595.54
2024-04-03,Paid Search,2614,7427,70,5957.21
2024-04-03,Paid Social,1983,4648,38,3321.94
2024-04-04,Organic Search,3984,9544,59,5343.51
2024-04-04,Direct,2276,4960,34,2865.95
2024-04-04,Referral,227,500,5,417.52
2024-04-04,Email,910,2745,22,1749.69
2024-04-04,Paid Search,3008,7354,82,6560.41
2024-04-04,Paid Social,1631,4184,32,2814.21
2024-04-05,Organic Search,4243,10129,63,5017.06
2024-04-05,Direct,2424,6149,36,3139.44
2024-04-05,Referral,242,741,6,534.88
2024-04-05,Email,969,2657,24,1913.34
2024-04-05,Paid Search,2389,6114,63,5443.53
2024-04-05,Paid Social,2024,4853,42,3383.12
2024-04-06,Organic Search,2916,7477,43,3708.9
